seed	round	mol_index	smiles	best_score	all_9_poses	n_hbonds	n_hydrophobic	n_pi_stack	n_salt_bridges	key_hits	interactions
123	01	1	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)NC(CCc1nnn[nH]1)C(=O)O	-8.8279	-8.83 -8.07 -8.06 -7.97 -7.93 -7.75 -7.74 -7.45 -7.45	0	0	0	0	0	
123	01	2	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)NC(CCC(=O)O)C(=O)O	-8.2438	-8.24 -7.94 -7.68 -7.57 -7.57 -7.39 -7.33 -7.30 -7.26	0	0	0	0	0	
123	01	3	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1F	-7.5768	-7.58 -7.00 -6.94 -6.94 -6.87 -6.65 -6.65 -6.60 -6.53	0	0	0	0	0	
123	02	1	CN(Cc1cnc2nc(N)nc(O)c2n1)c1ccc(C(=O)NC(Cc2ccccc2)C(=O)O)cc1	-8.7366	-8.74 -8.60 -8.39 -8.14 -7.72 -7.58 -7.33 -7.29 -6.82	0	0	0	1	0	anionic(ARG28.A-UNL1)
123	02	2	CN(Cc1cnc2nc(N)nc(O)c2n1)c1ccc(C(=O)NC(Cc2c[nH]cn2)C(=O)O)cc1	-8.6557	-8.66 -8.32 -8.11 -8.11 -8.06 -7.75 -7.36 -7.32 -7.21	0	0	0	1	0	anionic(ARG28.A-UNL1)
123	02	3	CN(Cc1cnc2nc(N)nc(O)c2n1)c1ccc(C(=O)NC(CCCN)C(=O)O)cc1	-8.343	-8.34 -8.00 -7.86 -7.82 -7.72 -7.61 -6.97 -6.89 -6.85	0	0	0	0	0	
123	03	1	CN(Cc1cnc2nc(N)nc(O)c2n1)c1ccc(C(=O)NC(Cc2ccccc2)C(=O)O)cc1	-8.7153	-8.72 -8.64 -8.52 -8.31 -8.16 -8.08 -7.80 -7.64 -7.62	0	0	0	1	0	anionic(ARG28.A-UNL1)
123	03	2	CN(Cc1cnc2nc(N)nc(O)c2n1)c1ccc(cc1)C(=O)NC(CCC(=O)O)C(=O)O	-7.9385	-7.94 -7.71 -7.67 -7.42 -7.29 -6.91 -6.88 -6.86 -6.71	0	1	0	0	0	vdwcontact(PRO61.A-UNL1)
123	04	1	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)NC(CCc1nnn[nH]1)C(=O)	-8.3139	-8.31 -7.47 -7.38 -7.31 -7.30 -7.20 -7.19 -7.00 -6.92	0	0	0	0	0	
123	05	1	CN(Cc1cnc2nc(N)nc(O)c2n1)c1ccc(cc1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1	-9.2613	-9.26 -8.04 -7.72 -7.58 -6.76 -6.52 -6.36	0	2	0	1	0	anionic(ARG28.A-UNL1); vdwcontact(ARG28.A-UNL1); vdwcontact(ASN64.A-UNL1)
123	05	2	CN(Cc1cnc2nc(N)nc(O)c2n1)c1ccc(C(=O)NC(CCCNC(=N)N)C(=O)O)cc1	-8.9793	-8.98 -8.78 -8.65 -8.21 -7.96 -7.92 -7.89 -7.87 -7.72	0	0	0	1	0	anionic(ARG28.A-UNL1)
123	05	3	CN(Cc1cnc2nc(N)nc(O)c2n1)c1ccc(C(=O)NC(Cc2ccc(F)cc2)C(=O)O)cc1	-8.7665	-8.77 -8.23 -8.04 -7.90 -7.90 -7.84 -7.73 -7.44 -7.37	0	0	0	0	0	
123	06	1	CN(Cc1cnc2nc(N)nc(O)c2n1)c1ccc(cc1)Oc1ccc(cc1)C(=O)NC(CCC(=O)O)C(=O)O	-9.8185	-9.82 -9.33 -9.31 -9.18 -7.83 -7.55 -7.42 -7.31 -7.14	0	1	0	0	0	vdwcontact(TYR22.A-UNL1)
