seed	round	n_mols	total_tokens	prompt_tokens	completion_tokens	llm_time_s	docking_time_s
123	01	3	4156	307	3849	38.03	?
123	02	3	4519	731	3788	39.22	?
123	03	2	5268	1172	4096	42.77	?
123	04	1	5570	1475	4095	42.61	?
123	05	3	4660	1622	3038	29.01	?
123	06	3	4427	2080	2347	24.45	?
123	07	3	4605	2523	2082	17.99	?
123	08	3	5082	2982	2100	19.42	?
123	09	3	5807	3442	2365	22.89	?
123	10	3	7053	3885	3168	29.29	?
42	01	3	3985	307	3678	38.13	?
42	02	3	1198	755	443	5.23	?
42	03	3	5059	1209	3850	44.37	?
42	04	3	3670	1686	1984	22.02	?
42	05	3	4022	2132	1890	19.61	?
42	06	3	5142	2578	2564	25.25	?
42	07	3	5079	3013	2066	22.43	?
42	08	3	4703	3474	1229	11.65	?
42	09	3	6351	3907	2444	24.18	?
42	10	2	7956	4366	3590	49.28	?
456	01	3	3045	307	2738	29.23	?
456	02	3	3547	748	2799	28.39	?
456	03	0	5315	1219	4096	43.32	?
456	04	1	5320	1224	4096	40.03	?
456	05	3	3787	1347	2440	23.33	?
456	06	3	2794	1803	991	11.0	?
456	07	0	3709	2258	1451	14.62	?
456	08	3	2709	2263	446	5.06	?
456	09	3	5649	2709	2940	29.2	?
456	10	2	5523	3153	2370	24.3	?
