round	smiles	s1_ev	s1_deviation_eV	sa_score	sa_change	compliant
1	(no valid SMILES)	-	-	-	-	-
2	(no valid SMILES)	-	-	-	-	-
3	(no valid SMILES)	-	-	-	-	-
4	(no valid SMILES)	-	-	-	-	-
5	(no valid SMILES)	-	-	-	-	-
6	CCN(CC)c1ccc2c(c1)oc(=O)cc2	3.8710	+0.5060	2.1346	-0.4614	no
7	CCN(CC)c1ccc2c(c1)oc(=O)c(C#N)c2	3.5780	+0.2130	2.4171	-0.1789	yes
8	(no valid SMILES)	-	-	-	-	-
9	C1CCN(C1)c1ccc2c(c1)oc(=O)c(C#N)c2	3.5830	+0.2180	2.2804	-0.3156	yes
10	CCN(CC)c1ccc2c(c1)oc(=O)cc2	3.8710	+0.5060	2.1346	-0.4614	no
